,Employee_Name,Employee_Id,Project_Id,Start_Date,End_Date,Allocated_Days,Completed_In_Days,Login_Time,Logout_Time,isOnTime,Joining_Date,Appraisal_Cycles,YearsInCompany,Complaints_received,average_monthly_hours,Behavior
4202,Ian Darland,4202,8306,2012-06-16,2015-10-04,1211,1205,8:1,8:32,1,2011-08-30,8,9,0,194,Excellent
4203,Christina Henderson,4203,5409,2009-02-10,2020-07-24,4177,4182,9:3,7:51,0,2008-10-15,2,12,8,102,Bad
4204,David Mccann,4204,1189,2012-09-06,2015-08-17,1080,1075,9:49,7:41,1,2011-12-24,8,9,1,247,Excellent
4205,Brandon Lee,4205,1454,2007-06-25,2010-08-05,1134,1137,9:4,7:50,1,2007-06-22,2,13,5,206,Good
4206,Eileen Russell,4206,3961,2015-01-16,2015-09-04,237,231,8:21,7:38,0,2014-11-27,3,6,2,171,Good
4207,Jasmine Westbrook,4207,3613,2004-06-22,2012-01-23,2765,2771,10:3,7:45,1,2003-12-20,9,17,5,263,Good
4208,Willis Brimmer,4208,6354,2005-05-29,2006-11-29,551,549,8:7,7:0,0,2005-02-04,12,16,2,272,Good
4209,Roy Umbaugh,4209,1965,2001-08-16,2020-10-13,6993,6998,8:1,8:55,1,2001-04-18,0,20,4,158,Below Average
4210,Cheri Cobb,4210,2348,2004-08-13,2009-02-03,1639,1635,9:8,7:47,1,2004-03-10,6,17,2,216,Good
4211,Miriam Keith,4211,9707,2007-06-27,2013-02-12,2053,2057,10:21,8:14,1,2006-08-30,12,14,0,113,Average
4212,Sarah Serpa,4212,7167,2009-12-31,2017-04-29,2681,2676,8:59,7:58,0,2009-02-15,8,12,2,140,Average
4213,Carolyn Holberg,4213,3613,2011-05-31,2013-03-24,662,663,9:41,8:9,1,2010-07-24,2,10,4,178,Average
4214,Richard Shepard,4214,8467,2011-04-08,2012-06-17,440,436,10:10,7:34,1,2010-11-19,0,10,2,153,Average
4215,Virginia Alexander,4215,3967,2004-05-09,2018-01-11,4988,4995,10:10,7:3,1,2003-05-28,14,18,3,271,Good
4216,Beatrice Schupp,4216,5483,2014-08-29,2020-04-07,2057,2048,10:42,8:43,0,2014-02-07,4,7,3,269,Good
4217,Donna Bennett,4217,7703,2001-07-25,2010-11-24,3400,3409,9:15,8:10,0,2001-03-27,3,20,9,160,Bad
4218,Thomas Pierce,4218,9573,2017-01-28,2017-05-05,105,97,9:47,8:24,0,2016-05-06,0,5,3,258,Good
4219,Del Kenney,4219,1876,2008-04-05,2012-08-14,1589,1592,10:46,8:51,0,2007-07-18,10,13,3,251,Good
4220,Charles Davis,4220,4561,2008-02-12,2013-11-18,2115,2106,8:57,8:11,1,2007-11-30,9,13,1,170,Good
4221,Dorothea Martinez,4221,8891,2007-06-04,2018-03-14,3927,3936,10:46,7:33,0,2007-04-12,8,14,10,238,Below Average
4222,Rogelio Lazo,4222,5601,2002-10-07,2004-05-29,606,600,10:42,8:49,0,2002-01-20,10,19,8,152,Bad
4223,Daniel Pacheco,4223,7631,2017-12-09,2018-06-30,194,203,10:23,7:50,0,2017-10-26,0,3,4,262,Average
4224,Bernard Dean,4224,9457,2005-02-16,2020-12-23,5791,5789,10:37,7:12,0,2004-07-04,7,16,7,273,Average
4225,Julius Ferris,4225,7927,2002-03-17,2011-12-31,3569,3576,8:9,7:48,1,2001-07-24,8,19,8,233,Average
4226,Diana Cann,4226,4930,2013-11-03,2014-05-03,188,181,10:13,7:52,0,2013-03-01,2,8,7,262,Average
4227,Grace Fisher,4227,5623,2015-01-14,2018-05-24,1222,1226,9:47,7:14,1,2014-01-29,3,7,1,183,Good
4228,Lisa Burks,4228,3772,2001-12-09,2018-01-19,5885,5885,8:49,7:9,1,2001-10-09,7,19,2,150,Average
4229,Kristine Whitsett,4229,5405,2015-07-31,2016-11-28,486,486,8:44,8:31,0,2014-12-06,5,6,3,132,Average
4230,Anthony Miller,4230,2252,2015-01-25,2019-06-21,1609,1608,10:37,8:13,0,2014-06-07,3,6,3,200,Good
4231,Harry Jensen,4231,9282,2010-06-09,2016-10-24,2329,2329,10:27,7:0,1,2010-05-16,6,11,0,148,Average
4232,Michael Talmage,4232,5830,2017-12-04,2020-04-09,865,857,9:49,8:31,0,2017-11-14,1,3,2,187,Good
4233,Monty Wilbur,4233,3813,2015-04-04,2017-11-14,953,955,8:6,8:12,1,2015-04-01,3,6,0,224,Excellent
4234,Lawrence Springfield,4234,5663,2012-04-13,2017-02-07,1766,1761,8:58,7:31,1,2012-02-20,3,9,2,147,Average
4235,Brenda Souza,4235,4523,2008-06-06,2016-10-10,3047,3048,10:8,7:31,0,2007-10-13,11,13,2,153,Average
4236,Monica Wyman,4236,2189,2014-10-29,2018-08-06,1386,1377,8:47,8:57,1,2014-03-26,0,7,2,154,Average
4237,Stacy Cox,4237,8099,2012-09-18,2017-10-07,1836,1845,9:23,7:17,1,2012-03-20,2,9,8,270,Average
4238,Peter Best,4238,7817,2001-06-09,2007-07-17,2234,2229,9:17,8:1,1,2000-12-14,9,20,3,202,Good
4239,Leslie Babcock,4239,8427,2017-05-09,2021-02-27,1381,1390,10:25,8:43,0,2016-06-15,2,4,6,264,Average
4240,Christine Thomas,4240,2044,2010-07-27,2011-03-26,248,242,8:46,7:48,0,2009-10-11,8,11,2,145,Average
4241,John Kou,4241,5408,2010-08-15,2017-12-15,2671,2679,8:59,8:12,0,2010-03-25,9,11,4,138,Below Average
4242,Maria Williams,4242,3073,2007-08-19,2013-06-28,2144,2140,8:17,7:37,1,2007-05-04,2,14,2,238,Good
4243,William Lafleche,4243,9728,2017-06-08,2017-09-06,84,90,10:55,7:41,0,2016-12-04,3,4,2,147,Average
4244,Alice Smith,4244,2262,2010-12-06,2016-03-10,1923,1921,9:58,8:27,1,2009-12-31,1,11,2,190,Good
4245,Angelo Schappert,4245,3443,2016-03-26,2020-03-20,1454,1455,8:46,8:20,1,2015-12-27,4,5,0,183,Excellent
4246,Tiffany Situ,4246,7258,2005-05-09,2008-07-20,1169,1168,9:2,7:12,1,2005-01-16,9,16,2,255,Good
4247,Johnny Rose,4247,7949,2018-06-17,2018-07-19,26,32,8:57,8:49,0,2017-06-25,0,3,2,252,Good
4248,Ike Townsend,4248,4325,2008-02-09,2017-05-05,3373,3373,9:51,7:8,1,2007-09-21,3,13,3,141,Average
4249,Earl Potts,4249,2853,2016-08-17,2020-04-29,1348,1351,9:43,7:46,1,2016-05-03,3,5,1,260,Excellent
4250,Rafael Porter,4250,2133,2012-03-28,2018-08-05,2323,2321,9:12,8:49,1,2011-06-11,6,9,1,136,Good
4251,Charles Mason,4251,9493,2001-04-27,2004-09-15,1237,1237,10:35,8:11,0,2000-06-13,15,20,3,182,Good
4252,Peggy Briscoe,4252,1051,2012-08-26,2014-02-17,546,540,8:43,7:44,1,2012-02-10,3,9,3,142,Average
4253,Austin Erdman,4253,1435,2015-09-13,2019-08-03,1418,1420,10:57,7:23,1,2015-01-17,1,6,0,261,Excellent
4254,Gregory Wester,4254,8056,2007-02-06,2012-06-12,1955,1953,9:2,7:22,1,2006-10-10,11,14,1,209,Excellent
4255,Gary Winfield,4255,7692,2007-06-22,2019-01-06,4211,4216,10:34,8:25,1,2007-03-02,1,14,6,156,Below Average
4256,Robert Bundy,4256,4122,2007-10-07,2008-05-12,224,218,9:3,8:42,0,2007-09-20,4,13,8,214,Below Average
4257,Molly Bishop,4257,5732,2017-03-18,2020-01-22,1039,1040,10:7,8:50,0,2016-09-27,2,4,2,250,Good
4258,Tonya Marshall,4258,9326,2018-09-28,2021-01-20,845,845,8:49,7:48,0,2018-07-16,0,2,3,197,Average
4259,David Bard,4259,8992,2009-01-09,2010-02-10,397,397,8:26,8:22,1,2008-04-08,8,13,1,149,Average
4260,Kevin Pippin,4260,1331,2008-08-26,2012-12-05,1569,1562,8:24,8:6,1,2008-01-03,12,13,1,271,Excellent
4261,Jessica Johnson,4261,2749,2001-10-20,2019-11-15,6596,6600,8:53,7:7,0,2001-01-14,13,20,7,187,Below Average
4262,Margaret Robertson,4262,5080,2006-05-06,2010-12-18,1691,1687,8:21,8:33,0,2005-11-22,11,15,3,154,Average
4263,Megan Moll,4263,3146,2010-03-17,2018-10-06,3116,3125,9:29,7:51,1,2009-09-23,7,11,3,264,Good
4264,Morgan Burden,4264,9140,2004-02-06,2018-08-27,5316,5316,10:5,8:21,1,2004-01-24,3,17,3,144,Average
4265,Jose Ballard,4265,6128,2001-07-25,2021-01-22,7116,7121,9:35,8:18,1,2001-06-21,13,19,4,200,Average
4266,Doris Johnson,4266,2991,2006-09-17,2016-06-02,3551,3546,8:46,8:39,0,2006-09-15,11,14,3,197,Good
4267,Nena Biggs,4267,1878,2018-12-28,2019-03-09,65,71,8:13,7:21,0,2018-12-25,0,2,2,175,Good
4268,Jason Donnelly,4268,9335,2007-04-09,2015-07-02,3010,3006,10:27,7:24,0,2006-05-09,9,15,7,161,Below Average
4269,Alice Rodriguez,4269,8639,2010-02-09,2020-10-15,3895,3901,8:18,8:59,1,2009-10-07,7,11,1,245,Excellent
4270,Juan Perez,4270,4159,2008-07-05,2011-08-03,1127,1124,9:32,8:48,1,2007-12-25,1,13,2,167,Average
4271,Jasmine Edwards,4271,8403,2008-07-20,2010-06-02,673,682,9:59,7:57,0,2008-02-28,2,13,9,168,Bad
4272,Kelvin Smith,4272,7192,2014-01-15,2014-02-16,33,32,10:57,8:35,1,2013-01-28,6,8,1,261,Excellent
4273,William Linder,4273,4536,2003-12-27,2009-10-04,2101,2108,8:59,7:15,1,2003-03-28,3,18,7,274,Average
4274,Betty Cisneros,4274,9905,2004-09-10,2008-05-18,1352,1346,10:12,7:14,0,2004-05-09,5,17,7,181,Below Average
4275,Blake Severson,4275,6725,2010-02-10,2013-09-27,1321,1325,10:36,7:7,0,2009-06-16,6,11,6,266,Good
4276,Joan Cassano,4276,9512,2012-07-11,2018-12-15,2352,2348,8:55,8:52,0,2012-01-19,2,9,8,184,Below Average
4277,Mozelle Morris,4277,7145,2005-01-21,2018-08-16,4954,4955,9:23,7:59,0,2004-02-22,2,17,7,193,Average
4278,Ann Mccurdy,4278,4666,2016-06-02,2017-01-15,233,227,8:43,8:34,1,2015-07-06,4,5,0,217,Excellent
4279,Queen Nichols,4279,7383,2018-05-08,2020-07-14,790,798,10:23,8:33,1,2017-07-05,2,3,3,197,Good
4280,Paul Johnson,4280,6087,2007-11-10,2018-09-25,3980,3972,8:0,8:13,1,2007-06-03,1,13,3,252,Good
4281,Michael Maranda,4281,2980,2007-09-29,2010-05-09,953,953,9:40,7:14,1,2006-10-27,0,14,2,136,Average
4282,George Heyman,4282,4935,2011-05-05,2012-06-02,401,394,10:40,7:10,1,2011-02-18,6,10,1,194,Excellent
4283,James Baker,4283,4619,2007-02-07,2007-09-28,224,233,9:54,7:23,0,2006-03-30,5,15,10,190,Below Average
4284,Kimbery Handsaker,4284,4876,2013-01-04,2019-04-23,2309,2300,8:55,8:13,1,2012-03-11,8,9,0,185,Excellent
4285,Jason Harper,4285,5426,2008-02-19,2017-02-10,3277,3279,8:43,7:18,0,2007-02-26,13,14,2,232,Good
4286,Frank Bernardi,4286,2459,2003-08-15,2016-12-25,4882,4881,9:24,8:8,0,2002-12-24,9,18,8,200,Below Average
4287,James Marks,4287,3402,2016-06-02,2018-06-29,754,757,9:38,8:17,1,2016-01-16,1,5,0,155,Good
4288,John Thomas,4288,9293,2017-06-20,2019-11-30,902,893,9:15,7:24,1,2016-07-14,1,4,0,228,Excellent
4289,Jacqueline Vail,4289,6362,2012-11-01,2020-10-30,2918,2920,10:34,7:17,1,2012-01-18,5,9,0,188,Excellent
4290,Thelma Suarez,4290,3197,2007-01-21,2011-04-11,1545,1541,9:42,8:27,1,2006-12-18,0,14,2,245,Good
4291,Arlene Carson,4291,4152,2007-01-26,2009-09-11,959,959,8:47,7:48,1,2006-06-18,4,14,2,205,Good
4292,Luther Cobb,4292,7271,2004-05-17,2016-03-28,4340,4333,9:57,7:20,0,2004-03-14,0,17,8,269,Average
4293,Ruth Taylor,4293,8215,2014-03-11,2019-04-13,1857,1859,10:56,7:32,1,2013-11-06,4,7,1,207,Excellent
4294,Deanna Giffin,4294,1546,2018-12-21,2019-10-29,315,312,8:47,8:20,1,2018-10-01,0,2,1,250,Excellent
4295,Kisha Worsham,4295,7120,2015-01-02,2016-01-15,371,378,10:31,8:58,0,2014-09-20,1,6,7,251,Average
4296,Rachael Langley,4296,5161,2018-12-08,2019-09-22,291,288,10:20,7:21,0,2018-11-03,1,2,2,217,Good
4297,Virginia Anderson,4297,1885,2002-10-05,2009-08-19,2504,2510,10:36,7:43,0,2001-10-24,3,19,8,252,Average
4298,James James,4298,2998,2014-08-21,2018-11-27,1563,1559,8:7,7:30,1,2014-06-11,4,6,1,159,Good
4299,Christopher Chapman,4299,7982,2015-11-04,2016-02-04,84,92,9:7,7:20,1,2015-04-25,4,6,3,169,Good
4300,Debra Gillespie,4300,9888,2005-02-06,2010-06-07,1952,1947,9:33,8:29,1,2005-01-03,5,16,3,105,Average
4301,John Baker,4301,3056,2005-03-26,2011-02-04,2133,2141,9:10,8:31,0,2004-08-26,0,16,10,268,Below Average
4302,Shawn Reese,4302,5420,2001-01-18,2006-08-01,2029,2021,10:44,8:43,1,2000-11-13,14,20,3,145,Average
4303,Paul Benavides,4303,3871,2010-09-29,2017-03-28,2366,2372,8:58,8:5,0,2009-11-22,10,11,3,165,Good
4304,Douglas Taft,4304,7224,2013-08-27,2017-09-01,1471,1466,9:58,7:27,1,2013-05-21,6,8,1,253,Excellent
4305,Gail Vandenheuvel,4305,7217,2015-04-27,2018-09-27,1245,1249,9:12,8:23,0,2014-07-12,5,6,3,254,Good
4306,Ruth Dimiceli,4306,2713,2003-09-06,2006-01-28,877,875,8:0,7:19,1,2003-07-03,1,17,2,218,Good
4307,Hiram Frazier,4307,3443,2012-11-21,2016-08-03,1346,1351,8:25,8:12,0,2012-09-15,1,8,7,138,Bad
4308,Carolyn Broadwater,4308,6023,2017-03-11,2019-10-20,959,953,10:44,8:24,0,2017-02-02,0,4,3,239,Good
4309,Andrew Grooms,4309,2258,2006-09-14,2010-04-08,1295,1302,9:42,8:45,0,2005-10-30,1,15,10,182,Below Average
4310,Matt Mcnally,4310,5947,2017-06-18,2018-09-15,454,454,8:54,8:20,0,2016-08-08,2,4,2,152,Average
4311,Jacqueline Wallin,4311,1348,2001-05-02,2007-12-10,2413,2413,9:15,7:28,1,2001-02-26,1,20,3,222,Good
4312,William Brown,4312,4919,2015-02-05,2016-09-16,589,589,10:42,8:16,1,2014-12-12,4,6,0,219,Excellent
4313,James Detweiler,4313,8868,2008-06-29,2009-02-01,217,217,8:49,8:54,1,2008-06-05,6,12,2,266,Good
4314,Ingrid Bozeman,4314,8836,2011-10-18,2016-11-18,1861,1858,9:53,8:29,1,2011-06-13,0,9,3,113,Average
4315,Nadine Scalise,4315,2423,2007-11-17,2011-05-08,1260,1268,10:18,7:59,0,2007-09-10,2,13,9,146,Bad
4316,Michael Lemons,4316,1630,2013-11-27,2020-10-26,2529,2525,9:15,8:11,1,2013-06-17,0,7,2,238,Good
4317,Penny Terres,4317,6121,2004-07-12,2008-06-12,1428,1431,8:26,8:20,0,2004-02-28,15,17,3,188,Good
4318,Joshua Thibadeau,4318,7899,2017-09-15,2019-12-11,817,817,8:18,7:36,1,2016-10-30,1,4,1,237,Excellent
4319,Joseph Young,4319,3426,2003-06-10,2006-02-01,967,967,10:36,7:59,1,2002-08-26,7,18,2,201,Good
4320,Kyle Sobel,4320,3707,2014-08-02,2017-11-01,1194,1187,8:25,8:40,0,2013-08-14,6,7,3,188,Good
4321,Shelly Cabrera,4321,4470,2006-06-18,2019-01-29,4607,4608,10:47,7:35,0,2006-05-06,11,15,3,137,Average
4322,Chris Alvarez,4322,8852,2005-02-16,2005-04-22,69,65,10:32,7:20,0,2004-02-19,12,17,3,263,Good
4323,Elvin Hill,4323,6453,2006-10-16,2012-12-17,2250,2254,10:26,7:22,1,2006-03-25,8,15,6,217,Average
4324,Anita Ballew,4324,6067,2013-09-05,2016-12-22,1212,1204,9:3,8:26,1,2012-11-26,6,8,0,213,Excellent
4325,Sheila Powell,4325,3842,2018-03-21,2020-06-20,816,822,8:45,8:58,1,2018-03-12,0,3,0,244,Excellent
4326,Thomas Benson,4326,5280,2001-08-31,2009-03-13,2752,2751,8:17,7:57,0,2000-10-19,3,20,7,252,Average
4327,Marisa Mack,4327,3453,2017-01-07,2018-10-03,630,634,10:29,7:56,0,2016-09-18,0,4,3,168,Good
4328,John Carter,4328,2043,2005-01-13,2019-01-12,5118,5112,8:27,8:20,0,2004-08-25,7,16,8,212,Below Average
4329,Wayne Perez,4329,5175,2014-04-06,2017-03-16,1073,1075,10:52,8:48,0,2013-07-26,3,7,3,258,Good
4330,Dennis Keith,4330,1887,2017-04-17,2020-09-29,1263,1261,10:23,7:49,0,2016-08-01,2,4,3,210,Good
4331,Analisa Bixby,4331,2685,2004-09-25,2012-12-27,3009,3015,9:15,8:9,0,2004-02-05,4,17,8,246,Average
4332,Alison Miller,4332,3693,2018-02-20,2020-04-04,775,774,8:18,7:27,0,2017-10-16,2,3,3,221,Good
4333,Dwight Hicks,4333,6246,2002-08-29,2002-10-10,33,42,10:7,7:8,0,2002-08-14,17,18,5,215,Good
4334,Bonita Eyer,4334,8182,2010-03-22,2015-12-02,2090,2081,10:30,7:51,0,2009-04-24,4,12,7,175,Below Average
4335,Virginia Jones,4335,4431,2012-08-07,2019-07-22,2537,2540,10:31,7:53,1,2011-08-15,3,9,5,221,Good
4336,Shirley Crutcher,4336,7922,2006-10-11,2014-06-21,2816,2810,9:57,8:3,0,2006-09-22,10,14,2,219,Good
4337,William Gaylor,4337,6109,2018-03-02,2021-02-11,1071,1077,9:38,7:47,1,2017-11-22,0,3,1,154,Average
4338,Justin Crotts,4338,9838,2003-04-30,2013-07-13,3731,3727,8:44,8:15,0,2002-07-26,16,18,2,266,Good
4339,Jennifer Jennings,4339,4858,2010-10-24,2020-03-28,3441,3443,9:11,7:14,1,2010-09-29,5,10,0,224,Excellent
4340,Glenn Campos,4340,9029,2001-01-31,2009-10-10,3182,3174,10:55,7:54,0,2000-06-16,15,20,2,269,Good
4341,Sarah Burge,4341,6327,2007-02-25,2007-11-28,274,276,8:51,7:10,1,2006-03-30,11,15,0,159,Good
4342,Nelly Huggins,4342,5542,2007-05-19,2019-07-19,4447,4444,10:46,7:7,0,2007-05-11,8,14,7,247,Average
4343,Ethel Mckenzie,4343,8133,2004-10-29,2018-09-23,5071,5077,8:26,8:5,1,2004-08-23,7,16,5,137,Below Average
4344,Melissa Zaring,4344,4579,2001-12-24,2005-07-13,1303,1297,8:31,7:49,1,2001-12-03,3,19,2,251,Good
4345,Nan Patrick,4345,5066,2002-05-25,2015-11-05,4909,4912,10:58,7:33,0,2002-01-11,10,19,7,210,Average
4346,Mary Ballard,4346,8501,2007-07-29,2014-02-01,2385,2379,9:22,8:51,0,2006-12-01,11,14,3,123,Average
4347,Andre Tanaka,4347,9380,2016-12-17,2018-11-01,683,684,10:10,7:25,0,2016-06-17,0,4,2,253,Good
4348,Dorothy Minton,4348,5724,2015-06-30,2020-09-19,1914,1908,10:30,8:12,0,2015-01-21,2,6,2,242,Good
4349,Jim Goe,4349,2266,2004-04-12,2019-08-19,5598,5607,10:18,8:40,1,2003-08-31,13,17,2,238,Good
4350,Thomas Atkins,4350,3927,2002-12-31,2014-05-08,4147,4146,10:2,7:10,0,2002-05-31,8,19,7,151,Bad
4351,Terri Lowery,4351,4277,2002-10-18,2015-05-31,4603,4608,8:18,8:23,0,2001-12-17,10,19,7,158,Bad
4352,Donna Cook,4352,9521,2011-07-27,2014-07-19,1093,1088,8:24,7:35,0,2011-06-28,5,9,2,120,Average
4353,Kurt Brown,4353,5236,2008-10-13,2010-09-16,694,703,9:30,8:42,1,2008-10-07,2,12,8,187,Below Average
4354,Kristen Harter,4354,5842,2010-02-25,2011-08-11,533,532,10:5,8:40,1,2009-10-16,2,11,2,140,Average
4355,Jason Stahly,4355,7315,2003-09-02,2004-11-16,434,441,8:37,8:14,0,2002-10-29,5,18,9,164,Bad
4356,Patricia Cheney,4356,7685,2014-03-03,2014-04-08,40,36,10:2,8:49,0,2013-07-31,0,7,7,253,Average
4357,Daryl Crooks,4357,2314,2018-11-18,2019-09-15,293,301,9:18,8:30,1,2017-11-21,2,3,2,235,Good
4358,Dana Lutz,4358,1962,2016-04-29,2018-05-03,741,734,8:45,8:20,0,2016-03-24,4,5,2,189,Good
4359,Melinda Greenawalt,4359,8472,2010-08-01,2012-03-05,580,582,10:11,7:36,0,2010-03-12,2,11,7,246,Good
4360,Debra Hoffman,4360,4355,2014-07-23,2018-08-07,1485,1476,10:9,8:32,1,2013-11-16,4,7,0,258,Excellent
4361,Nan Micklos,4361,9163,2014-02-16,2018-08-21,1640,1647,8:38,7:21,1,2013-06-08,4,7,2,158,Average
4362,Patricia Root,4362,2301,2014-02-18,2020-04-17,2257,2250,8:6,8:9,1,2013-08-03,3,7,0,173,Good
4363,Carl Dixon,4363,9284,2004-07-17,2007-03-21,977,977,9:47,8:46,0,2004-05-31,2,17,7,201,Below Average
4364,Jamie Cameron,4364,7683,2003-11-19,2017-01-24,4817,4815,8:30,7:57,0,2003-01-25,17,18,2,185,Good
4365,Donald Guevara,4365,5929,2018-02-09,2020-08-29,928,932,9:29,7:48,0,2018-01-03,0,3,2,270,Good
4366,Elaine Ragan,4366,1241,2001-03-28,2017-08-16,5987,5985,10:35,7:55,1,2001-03-13,1,20,3,152,Average
4367,Delores Graves,4367,6650,2014-01-18,2021-04-11,2638,2640,9:31,7:17,1,2013-06-28,4,7,1,211,Excellent
4368,Bobbie Martinez,4368,1698,2013-08-17,2018-03-04,1664,1660,8:33,7:18,1,2013-08-04,1,7,3,162,Average
4369,David Dailey,4369,1481,2011-07-16,2020-01-22,3107,3112,9:32,8:40,0,2011-03-28,4,10,8,253,Average
4370,Kaitlin Towns,4370,8085,2014-03-05,2015-12-09,650,644,9:28,8:25,1,2013-09-05,1,7,2,236,Good
4371,John Thompson,4371,3308,2009-06-12,2016-12-30,2751,2758,9:33,7:38,0,2009-05-06,3,12,9,231,Below Average
4372,Charles Schott,4372,2123,2001-04-02,2006-11-09,2047,2047,8:36,7:21,0,2000-11-15,7,20,8,231,Average
4373,Ryan Coffelt,4373,9640,2018-03-30,2020-07-13,828,836,8:11,7:12,0,2017-04-15,2,4,6,233,Average
4374,Phillis Palm,4374,3356,2002-09-10,2012-12-09,3744,3743,9:21,7:7,1,2002-08-06,0,18,3,217,Good
4375,Kyle Mckinney,4375,3092,2018-05-17,2018-11-27,190,194,10:21,7:7,0,2018-04-30,1,3,2,174,Good
4376,Clarice Whitt,4376,9723,2001-10-13,2004-11-24,1140,1138,9:50,7:43,0,2001-05-09,5,20,7,227,Average
4377,Alice Aliberti,4377,3076,2015-05-16,2019-12-27,1678,1686,10:53,8:44,1,2014-08-12,0,6,8,222,Below Average
4378,Tiffany Morrow,4378,6550,2013-02-12,2018-10-11,2071,2067,8:37,7:45,0,2012-06-16,3,8,3,207,Good
4379,Theresa Philpot,4379,2555,2015-11-12,2020-06-18,1679,1680,9:26,8:56,1,2015-09-11,3,5,0,115,Good
4380,Mary Vargas,4380,6242,2018-02-06,2019-05-22,476,470,8:52,8:14,1,2017-10-23,1,3,1,254,Excellent
4381,Thomas Warner,4381,1578,2016-01-20,2020-11-15,1754,1761,10:35,7:44,0,2015-11-28,2,5,4,170,Average
4382,Gregory Rencher,4382,9590,2004-04-11,2016-11-16,4604,4602,10:13,7:28,1,2003-06-10,8,17,2,206,Good
4383,Brenda Murray,4383,4974,2004-01-25,2018-10-28,5383,5390,8:36,7:34,1,2004-01-15,9,17,7,149,Bad
4384,Francis Lebron,4384,4717,2003-09-27,2014-03-22,3829,3829,9:57,8:23,0,2003-04-01,17,18,3,197,Good
4385,Shirley Gilligan,4385,3086,2005-02-16,2012-02-11,2545,2551,8:22,8:22,1,2004-11-08,8,16,4,261,Good
4386,Kellie Beltran,4386,6824,2016-11-07,2018-12-07,764,760,10:18,7:38,1,2015-11-21,4,5,0,256,Excellent
4387,Michelle Pfeifer,4387,6509,2013-08-13,2021-03-14,2767,2770,10:31,8:8,0,2013-06-25,5,7,2,219,Good
4388,Judith Tomlinson,4388,8141,2001-02-22,2005-09-17,1676,1668,10:47,8:25,1,2000-08-19,15,20,1,143,Average
4389,Robert Newport,4389,1922,2010-10-15,2019-09-22,3264,3264,8:40,7:15,1,2010-10-02,7,10,0,171,Good
4390,Jessie Schutte,4390,9205,2003-06-19,2008-01-21,1677,1677,10:40,8:17,0,2003-05-20,16,18,3,207,Good
4391,Stacey Davidson,4391,5522,2010-10-26,2012-11-03,739,739,8:57,8:10,1,2010-08-05,6,10,1,235,Excellent
4392,Gary Hopson,4392,3899,2005-02-16,2008-01-10,1063,1058,10:10,7:43,1,2005-01-17,1,16,3,173,Average
4393,Deborah Gordon,4393,3494,2016-07-11,2020-05-23,1403,1412,9:49,7:49,0,2015-12-31,2,5,5,131,Below Average
4394,Jacqueline Barr,4394,8703,2007-07-03,2017-07-30,3680,3680,9:46,8:11,0,2007-03-06,12,14,3,143,Average
4395,Michael Boswell,4395,2934,2003-02-13,2007-05-13,1544,1550,10:53,7:20,1,2002-12-08,13,18,2,193,Good
4396,Delia Bass,4396,9231,2008-12-22,2017-10-07,3218,3211,9:21,7:3,0,2008-10-29,10,12,2,135,Average
4397,Phil Byrne,4397,7646,2004-03-25,2016-07-14,4487,4494,9:34,7:46,0,2003-11-24,12,17,7,265,Good
4398,Judy Smith,4398,5640,2008-05-24,2010-10-02,862,861,10:58,8:41,1,2008-04-06,0,13,3,133,Average
4399,Joseph Wischmeier,4399,9010,2002-02-04,2006-05-01,1543,1547,10:55,7:17,1,2001-07-24,0,19,5,184,Average
4400,Latisha Blake,4400,9607,2002-12-24,2005-04-24,854,852,10:57,8:32,0,2002-03-05,8,19,8,135,Bad
4401,Doris Patterson,4401,8748,2013-08-21,2014-09-02,376,377,10:59,8:12,0,2013-06-28,6,7,2,267,Good
4402,Corrine Jones,4402,5635,2007-08-04,2011-07-03,1437,1429,10:48,8:11,0,2007-05-03,10,14,3,184,Good
4403,Anna Jester,4403,2163,2014-08-12,2017-09-27,1139,1142,9:43,8:8,1,2014-01-10,5,7,0,227,Excellent
4404,Vaughn Smith,4404,1850,2003-08-02,2018-10-20,5567,5558,9:15,7:44,1,2003-08-01,6,17,3,257,Good
4405,Shane Kettner,4405,5847,2015-05-05,2018-07-26,1170,1178,9:1,7:49,1,2015-02-24,2,6,2,235,Good
4406,Rodney Perry,4406,5459,2001-10-15,2013-06-13,4259,4259,9:47,8:59,1,2001-07-21,17,19,0,161,Good
4407,Richard Prechtel,4407,6499,2007-06-03,2011-07-31,1518,1519,8:37,8:24,1,2006-10-10,7,14,4,215,Good
4408,Christopher Canevari,4408,5671,2012-12-16,2016-08-23,1353,1346,9:54,7:48,1,2012-03-05,2,9,3,146,Average
4409,Mark Suttee,4409,5487,2001-03-23,2015-11-29,5357,5364,8:36,8:23,1,2000-10-31,2,20,8,191,Below Average
4410,Patrick Adams,4410,9702,2001-06-23,2020-09-09,7019,7018,9:16,8:16,1,2001-05-21,13,20,2,261,Good
4411,Dominic Taylor,4411,3294,2013-05-29,2019-10-25,2333,2340,10:0,8:19,0,2012-07-20,5,8,5,200,Average
4412,Allison Peabody,4412,1354,2016-03-15,2016-09-06,177,175,9:57,8:23,1,2015-06-11,0,5,0,239,Excellent
4413,Darin Booker,4413,1837,2010-07-08,2015-07-28,1841,1846,10:16,7:55,0,2010-06-24,4,10,8,160,Bad
